k,pop_size,iterations,perc_elitism,perc_mat,sel_type,cross_type,mutation_rate,mut_type,best_solution_fitness,cycle_time,station_times,operator_times,violations,best_solution
231734,1000,1000,0.01,0.2,rank,DP,0.02,random,290358,290358,"[279786, 150250, 207434, 96400, 229814, 138914, 283186, 290358, 283792, 289372, 204660]","[259022, 280702, 290358, 283792, 289372, 204660]",0,"[0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 3, 4, 4, 4, 5, 5, 5, 5, 6, 6, 6, 6, 6, 6, 7, 7, 8, 7, 8, 8, 8, 8, 7, 4, 4, 6, 9, 9, 9, 9, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
231734,1000,1000,0.01,0.2,rank,UX,0.02,random,289340,289340,"[279786, 150250, 207434, 96400, 156134, 212594, 283186, 289340, 287646, 286536, 204660]","[259022, 280702, 289340, 287646, 286536, 204660]",0,"[0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 3, 4, 4, 4, 5, 5, 5, 5, 6, 6, 6, 6, 6, 6, 8, 8, 7, 7, 8, 7, 7, 9, 8, 5, 5, 6, 8, 8, 8, 9, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
231734,1000,1000,0.01,0.2,tournament,SP,0.01,random,296288,296288,"[279786, 150250, 207434, 79218, 173316, 212594, 269310, 296288, 286216, 294894, 204660]","[241840, 284008, 296288, 286216, 294894, 204660]",0,"[0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4, 4, 5, 5, 5, 5, 6, 6, 6, 6, 6, 6, 9, 9, 7, 9, 7, 7, 9, 8, 8, 5, 5, 7, 8, 8, 9, 7, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
231734,1000,1000,0.01,0.2,tournament,DP,0.01,random,295892,295892,"[279786, 150250, 207434, 96400, 156134, 212594, 269310, 287662, 295892, 293844, 204660]","[259022, 266826, 287662, 295892, 293844, 204660]",0,"[0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 3, 4, 4, 4, 5, 5, 5, 5, 6, 6, 6, 6, 6, 6, 8, 8, 8, 7, 9, 7, 8, 9, 7, 5, 5, 8, 9, 9, 9, 8, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
231734,1000,1000,0.01,0.2,tournament,UX,0.01,random,293212,293212,"[292972, 137064, 207434, 117070, 135464, 212594, 283186, 291866, 293212, 278444, 204660]","[279692, 260032, 291866, 293212, 278444, 204660]",0,"[0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 4, 4, 4, 5, 5, 5, 5, 6, 6, 6, 6, 6, 6, 7, 7, 7, 9, 8, 9, 8, 7, 8, 5, 5, 6, 9, 9, 7, 8, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
231734,1000,1000,0.01,0.2,tournament,SP,0.02,random,295660,295660,"[279786, 150250, 228104, 79218, 226326, 138914, 283186, 287288, 295660, 280574, 204660]","[262510, 277214, 287288, 295660, 280574, 204660]",0,"[0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 2, 4, 4, 4, 4, 5, 5, 5, 5, 6, 6, 6, 6, 6, 6, 8, 8, 9, 7, 7, 9, 8, 8, 7, 4, 4, 6, 8, 8, 8, 8, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
231734,1000,1000,0.01,0.2,tournament,DP,0.02,random,297228,297228,"[292972, 137064, 207434, 79218, 246996, 138914, 269310, 288796, 297228, 291374, 204660]","[241840, 284008, 288796, 297228, 291374, 204660]",0,"[0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4, 4, 5, 5, 5, 5, 6, 6, 6, 6, 6, 6, 8, 8, 7, 8, 7, 8, 9, 7, 9, 4, 4, 8, 8, 8, 7, 8, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
231734,1000,1000,0.01,0.2,tournament,UX,0.02,random,289954,289954,"[279786, 150250, 207434, 96400, 156134, 212594, 283186, 289954, 284196, 289372, 204660]","[259022, 280702, 289954, 284196, 289372, 204660]",0,"[0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 3, 4, 4, 4, 5, 5, 5, 5, 6, 6, 6, 6, 6, 6, 7, 7, 7, 8, 7, 7, 8, 7, 8, 5, 5, 6, 9, 9, 9, 9, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
231734,1000,1000,0.02,0.1,roulette,SP,0.01,random,294466,294466,"[279786, 150250, 207434, 79218, 246996, 138914, 269310, 293998, 288934, 294466, 204660]","[241840, 284008, 293998, 288934, 294466, 204660]",0,"[0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4, 4, 5, 5, 5, 5, 6, 6, 6, 6, 6, 6, 7, 8, 7, 8, 9, 8, 8, 8, 9, 4, 4, 8, 8, 8, 7, 7, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
231734,1000,1000,0.02,0.1,roulette,DP,0.01,random,296534,296534,"[292972, 137064, 228104, 96400, 135464, 212594, 283186, 296534, 277268, 289720, 204660]","[279692, 260032, 296534, 277268, 289720, 204660]",0,"[0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 2, 3, 4, 4, 4, 5, 5, 5, 5, 6, 6, 6, 6, 6, 6, 9, 9, 7, 7, 8, 9, 9, 9, 8, 5, 5, 6, 7, 7, 9, 8, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
