k,pop_size,iterations,perc_elitism,perc_mat,sel_type,cross_type,mutation_rate,mut_type,best_solution_fitness,cycle_time,station_times,operator_times,violations,best_solution
231734,1000,1000,0.01,0.2,tournament,SP,0.025,random,295302,295302,"[279786, 150250, 228104, 96400, 135464, 212594, 283186, 295302, 292790, 275430, 204660]","[279692, 260032, 295302, 292790, 275430, 204660]",0,"[0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 2, 3, 4, 4, 4, 5, 5, 5, 5, 6, 6, 6, 6, 6, 6, 8, 8, 8, 7, 8, 8, 7, 7, 9, 5, 5, 6, 8, 8, 8, 7, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
231734,1000,1000,0.01,0.2,tournament,DP,0.025,random,294014,294014,"[292972, 137064, 228104, 79218, 152646, 212594, 269310, 291518, 291866, 294014, 204660]","[262510, 263338, 291518, 291866, 294014, 204660]",0,"[0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 2, 4, 4, 4, 4, 5, 5, 5, 5, 6, 6, 6, 6, 6, 6, 8, 8, 8, 9, 9, 7, 9, 8, 7, 5, 5, 7, 9, 9, 8, 7, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
231734,1000,1000,0.01,0.2,tournament,UX,0.025,random,289372,289372,"[279786, 150250, 207434, 96400, 156134, 212594, 283186, 289340, 284810, 289372, 204660]","[259022, 280702, 289340, 284810, 289372, 204660]",0,"[0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 3, 4, 4, 4, 5, 5, 5, 5, 6, 6, 6, 6, 6, 6, 8, 8, 7, 7, 8, 7, 7, 8, 8, 5, 5, 6, 9, 9, 9, 9, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
231734,1000,1000,0.02,0.1,roulette,SP,0.01,random,294388,294388,"[279786, 150250, 207434, 96400, 156134, 212594, 269310, 291144, 291866, 294388, 204660]","[259022, 266826, 291144, 291866, 294388, 204660]",0,"[0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 3, 4, 4, 4, 5, 5, 5, 5, 6, 6, 6, 6, 6, 6, 8, 8, 8, 9, 7, 9, 9, 8, 7, 5, 5, 7, 9, 9, 8, 7, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
231734,1000,1000,0.02,0.1,roulette,DP,0.01,random,289698,289698,"[279786, 150250, 228104, 79218, 152646, 212594, 283186, 289698, 287288, 286536, 204660]","[262510, 277214, 289698, 287288, 286536, 204660]",0,"[0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 2, 4, 4, 4, 4, 5, 5, 5, 5, 6, 6, 6, 6, 6, 6, 7, 7, 7, 8, 8, 7, 7, 9, 8, 5, 5, 6, 7, 7, 7, 9, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
231734,1000,1000,0.02,0.1,roulette,UX,0.01,random,289372,289372,"[279786, 150250, 228104, 79218, 152646, 212594, 283186, 286862, 287288, 289372, 204660]","[262510, 277214, 286862, 287288, 289372, 204660]",0,"[0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 2, 4, 4, 4, 4, 5, 5, 5, 5, 6, 6, 6, 6, 6, 6, 7, 7, 7, 8, 8, 7, 7, 7, 8, 5, 5, 6, 9, 9, 9, 9, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
231734,1000,1000,0.02,0.1,roulette,SP,0.025,random,289540,289540,"[279786, 150250, 207434, 96400, 156134, 212594, 283186, 286216, 287766, 289540, 204660]","[259022, 280702, 286216, 287766, 289540, 204660]",0,"[0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 3, 4, 4, 4, 5, 5, 5, 5, 6, 6, 6, 6, 6, 6, 8, 9, 9, 8, 8, 8, 9, 7, 7, 5, 5, 6, 7, 7, 8, 8, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
231734,1000,1000,0.02,0.1,roulette,DP,0.025,random,299392,299392,"[279786, 150250, 207434, 79218, 173316, 212594, 269310, 295990, 282016, 299392, 204660]","[241840, 284008, 295990, 282016, 299392, 204660]",0,"[0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4, 4, 5, 5, 5, 5, 6, 6, 6, 6, 6, 6, 8, 8, 8, 9, 7, 7, 8, 7, 7, 5, 5, 7, 9, 9, 9, 8, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
231734,1000,1000,0.02,0.1,roulette,UX,0.025,random,287966,287966,"[279786, 150250, 228104, 79218, 152646, 212594, 283186, 287662, 287894, 287966, 204660]","[262510, 277214, 287662, 287894, 287966, 204660]",0,"[0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 2, 4, 4, 4, 4, 5, 5, 5, 5, 6, 6, 6, 6, 6, 6, 9, 9, 8, 7, 9, 7, 8, 8, 7, 5, 5, 6, 8, 8, 9, 9, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
231734,1000,1000,0.02,0.1,rank,SP,0.01,random,294466,294466,"[279786, 150250, 228104, 79218, 152646, 212594, 283186, 289736, 279320, 294466, 204660]","[262510, 277214, 289736, 279320, 294466, 204660]",0,"[0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 2, 4, 4, 4, 4, 5, 5, 5, 5, 6, 6, 6, 6, 6, 6, 7, 7, 8, 7, 9, 8, 8, 7, 9, 5, 5, 6, 7, 7, 7, 8, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
